,Nickname,Stadium,CF_Dim,CF_change,Change_Year,Prev_Year,Change_Year_HR_per_AB,Change_Year_Doubles_per_AB,Change_Year_Triples_per_AB,Prev_Year_HR_per_AB,Prev_Year_Doubles_per_AB,Prev_Year_Triples_per_AB
111,Reds,Crosley Field,375,-25,1938,1937,0.015128876,0.052484124,0.011206575,0.004974208,0.04532056,0.014369934
112,Reds,Crosley Field,387,-3,1955,1954,0.036435718,0.043798376,0.003964508,0.03677014,0.043422025,0.007206208
113,Rockies,Coors Field,415,-8,1995,1994,0.046399692,0.058721602,0.011359261,0.030022517,0.056542407,0.016262197
114,Royals,Kauffman Stadium,400,-10,1995,1994,0.023911711,0.048027795,0.007153076,0.021888834,0.059763896,0.010821446
115,Senators,Griffith Stadium,412,-53,1924,1923,0.001527592,0.043536376,0.019858698,0.004364326,0.037191651,0.021442125
116,Senators,Griffith Stadium,409,-3,1929,1928,0.005138942,0.050818424,0.018842786,0.005137615,0.050091743,0.021284404
117,Senators,Griffith Stadium,395,-14,1950,1949,0.008547009,0.040505388,0.014492754,0.006498471,0.042813456,0.01280581
118,Senators,Griffith Stadium,395,-14,1956,1955,0.029362572,0.043114663,0.010221148,0.00872093,0.036434109,0.01375969
119,Tigers,Navin Field,475,-15,1912,1911,0.002777778,0.038492063,0.013492063,0.006842806,0.040296522,0.017867326
120,Tigers,Navin Field,452,-23,1936,1935,0.020230141,0.060504826,0.008723088,0.014979246,0.051795705,0.01209168
121,Tigers,Briggs Stadium,447,-5,1938,1937,0.026535535,0.041009464,0.008907033,0.027440147,0.063535912,0.008839779
122,Tigers,Briggs Stadium,437,-10,1939,1938,0.024236818,0.053839038,0.009990749,0.026535535,0.041009464,0.008907033
123,Tigers,Briggs Stadium,425,-12,1950,1949,0.024475524,0.041405962,0.00736106,0.021934758,0.03768279,0.008998875
124,Tigers,Briggs Stadium,415,-10,1954,1953,0.023745691,0.03925699,0.007085408,0.026983845,0.045624001,0.007988638
125,Tigers,Comerica Park,420,-5,2000,1999,0.024303708,0.056945184,0.00780557,0.042618789,0.048603555,0.006891549
126,Twins,Metropolitan Stadium,402,-23,1965,1964,0.028639618,0.039287681,0.006241968,0.035872062,0.040819933,0.006184838
127,Twins,Target Field,404,-4,2010,2009,0.020995475,0.05918552,0.007420814,0.032972784,0.049371947,0.00645499
128,White Sox,Comiskey Park I,450,-5,1930,1929,0.012041697,0.052839684,0.019590223,0.011437286,0.045749142,0.013724743
129,White Sox,Comiskey Park I,436,-14,1934,1933,0.024261802,0.044574008,0.008087267,0.011125067,0.046115198,0.012381123
130,White Sox,Comiskey Park I,415,-25,1949,1948,0.012882138,0.035954624,0.012882138,0.010999614,0.034156696,0.015245079
131,White Sox,Comiskey Park I,410,-5,1951,1950,0.013927577,0.040668524,0.009656453,0.020154455,0.038048597,0.010924845
132,White Sox,Comiskey Park I,400,-10,1969,1968,0.026415094,0.037316562,0.006079665,0.01426773,0.031472933,0.006084767
133,White Sox,Comiskey Park I,409,-36,1981,1980,0.019329508,0.030504379,0.007248565,0.014417745,0.043622921,0.00961183
134,White Sox,Comiskey Park I,401,-8,1983,1982,0.027453163,0.04785754,0.00853274,0.017103348,0.043668122,0.009643377
135,White Sox,Comiskey Park II,400,-9,1991,1990,0.027919708,0.040328467,0.00620438,0.017537313,0.041791045,0.00988806
136,Yankees,Hilltop Park,409,-11,1907,1906,0.003333987,0.032555403,0.017846637,0.004280989,0.034247908,0.0202374
137,Yankees,Hilltop Park,370,-39,1911,1910,0.005389798,0.042540905,0.021559192,0.003933137,0.032448378,0.020452311
138,Yankees,Yankee Stadium I,470,-17,1924,1923,0.019540884,0.041358376,0.019161449,0.021546749,0.037899192,0.015775298
139,Yankees,Yankee Stadium I,449,-21,1937,1936,0.024702653,0.043000915,0.012259835,0.02315948,0.04274148,0.011485596
140,Yankees,Shea Stadium,410,-39,1974,1973,0.017164179,0.0375,0.005783582,0.021469554,0.035720896,0.005552471
141,Yankees,Yankee Stadium I,410,-7,1985,1984,0.029819955,0.041822956,0.006189047,0.019803747,0.039785905,0.00749331
142,Yankees,Yankee Stadium I,408,-2,1988,1987,0.027551205,0.046583288,0.002900127,0.033978809,0.041468761,0.004201681
